timestamp,equipment_id,temperature_c,vibration_mm_s,pressure_bar,rpm,failure_within_1h,partition
2026-09-18T08:00:00Z,PUMP-07,68.2,1.12,5.04,1478,0,training
2026-09-18T08:05:00Z,PUMP-07,68.4,1.15,5.02,1481,0,training
2026-09-18T08:10:00Z,PUMP-07,68.7,1.18,5.01,1479,0,training
2026-09-18T08:15:00Z,PUMP-07,69.0,1.21,4.99,1483,0,training
2026-09-18T08:20:00Z,PUMP-07,69.4,1.25,4.97,1480,0,training
2026-09-18T08:25:00Z,PUMP-07,69.8,1.29,4.95,1484,0,training
2026-09-18T08:30:00Z,PUMP-07,70.3,1.34,4.93,1482,0,training
2026-09-18T08:35:00Z,PUMP-07,70.8,1.39,4.91,1486,0,training
2026-09-18T08:40:00Z,PUMP-07,71.4,1.45,4.88,1481,0,training
2026-09-18T08:45:00Z,PUMP-07,72.0,1.52,4.85,1485,0,training
2026-09-18T08:50:00Z,PUMP-07,72.7,1.60,4.82,1483,0,training
2026-09-18T08:55:00Z,PUMP-07,73.5,1.69,4.78,1488,0,training
2026-09-18T09:00:00Z,PUMP-07,74.4,1.79,4.74,1484,1,training
2026-09-18T09:05:00Z,PUMP-07,75.4,1.90,4.69,1487,1,training
2026-09-18T09:10:00Z,PUMP-07,76.5,2.02,4.64,1482,1,training
2026-09-18T09:15:00Z,PUMP-07,77.7,2.15,4.58,1486,1,training
2026-09-18T09:20:00Z,PUMP-07,79.0,2.29,4.52,1479,1,validation
2026-09-18T09:25:00Z,PUMP-07,80.4,2.44,4.45,1483,1,validation
2026-09-18T09:30:00Z,PUMP-07,81.9,2.60,4.38,1477,1,validation
2026-09-18T09:35:00Z,PUMP-07,83.5,2.77,4.30,1480,1,validation
2026-09-18T09:40:00Z,PUMP-07,85.2,2.95,4.22,1474,1,test
2026-09-18T09:45:00Z,PUMP-07,87.0,3.14,4.13,1478,1,test
2026-09-18T09:50:00Z,PUMP-07,88.9,3.34,4.04,1471,1,test
2026-09-18T09:55:00Z,PUMP-07,90.9,3.55,3.94,1468,1,test
